objectives,normalizedObjectives,gridIndex
"[23251952.0, 2513188.25, 215.0, 111318.0, 374.0, 159.0]","[0.0, 0.15063634682234125, 1.0, 0.9977404777275661, 0.875, 0.8571428571428571]","[0, 7, 50, 49, 43, 42]"
"[24351521.0, 2153413.76, 214.0, 111127.0, 373.0, 159.0]","[0.04082588989842621, 0.07864320664222264, 0.8333333333333334, 0.9360877985797289, 0.8333333333333334, 0.8571428571428571]","[2, 3, 41, 46, 41, 42]"
"[24362314.0, 2295026.8, 214.0, 110993.0, 374.0, 160.0]","[0.04122662312178347, 0.10698086738090576, 0.8333333333333334, 0.8928340865074241, 0.875, 0.9047619047619048]","[2, 5, 41, 44, 43, 45]"
"[24374570.0, 2296394.35, 214.0, 110993.0, 374.0, 160.0]","[0.04168167606215839, 0.10725452274444569, 0.8333333333333334, 0.8928340865074241, 0.875, 0.9047619047619048]","[2, 5, 41, 44, 43, 45]"
"[24421021.0, 2447690.52, 214.0, 110787.0, 373.0, 159.0]","[0.04340635492421416, 0.13752983875010535, 0.8333333333333334, 0.8263395739186572, 0.8333333333333334, 0.8571428571428571]","[2, 6, 41, 41, 41, 42]"
"[24792673.0, 2337363.96, 214.0, 110818.0, 373.0, 159.0]","[0.05720541949636006, 0.11545279960352699, 0.8333333333333334, 0.8363460296965785, 0.8333333333333334, 0.8571428571428571]","[2, 5, 41, 41, 41, 42]"
"[24823540.0, 2194925.45, 214.0, 110942.0, 372.0, 158.0]","[0.058351480128748495, 0.08694995712162339, 0.8333333333333334, 0.8763718528082634, 0.7916666666666666, 0.8095238095238095]","[2, 4, 41, 43, 39, 40]"
"[24830615.0, 2215785.12, 214.0, 110886.0, 372.0, 158.0]","[0.05861416775547439, 0.09112410839738784, 0.8333333333333334, 0.8582956746287927, 0.7916666666666666, 0.8095238095238095]","[2, 4, 41, 42, 39, 40]"
"[25078742.0, 2231014.35, 214.0, 110881.0, 372.0, 158.0]","[0.06782687344545546, 0.094171573186304, 0.8333333333333334, 0.8566817301484829, 0.7916666666666666, 0.8095238095238095]","[3, 4, 41, 42, 39, 40]"
"[25119501.0, 2239672.27, 214.0, 110880.0, 372.0, 158.0]","[0.06934021407834885, 0.09590407747872408, 0.8333333333333334, 0.856358941252421, 0.7916666666666666, 0.8095238095238095]","[3, 4, 41, 42, 39, 40]"
"[25312628.0, 2249926.72, 214.0, 110672.0, 371.0, 158.0]","[0.07651082514360566, 0.09795605747408181, 0.8333333333333334, 0.78921885087153, 0.75, 0.8095238095238095]","[3, 4, 41, 39, 37, 40]"
"[25442223.0, 2619844.43, 215.0, 111306.0, 372.0, 157.0]","[0.0813225570143537, 0.17197891982638047, 1.0, 0.9938670109748224, 0.7916666666666666, 0.7619047619047619]","[4, 8, 50, 49, 39, 38]"
"[25807079.0, 2287551.38, 213.0, 110416.0, 370.0, 157.0]","[0.09486929294887003, 0.10548498878216116, 0.6666666666666666, 0.7065848934796642, 0.7083333333333334, 0.7619047619047619]","[4, 5, 33, 35, 35, 38]"
"[26007657.0, 2568996.44, 215.0, 111318.0, 372.0, 157.0]","[0.10231655214228721, 0.16180391694625051, 1.0, 0.9977404777275661, 0.7916666666666666, 0.7619047619047619]","[5, 8, 50, 49, 39, 38]"
"[27817468.0, 1977979.98, 214.0, 110671.0, 371.0, 157.0]","[0.1695130124125937, 0.04353780293261537, 0.8333333333333334, 0.788896061975468, 0.75, 0.7619047619047619]","[8, 2, 41, 39, 37, 38]"
"[28003208.0, 2021012.98, 213.0, 110606.0, 371.0, 159.0]","[0.17640935160525345, 0.05214897711945402, 0.6666666666666666, 0.7679147837314396, 0.75, 0.8571428571428571]","[8, 2, 33, 38, 37, 42]"
"[28090923.0, 2031454.33, 212.0, 110474.0, 370.0, 158.0]","[0.1796661212417569, 0.05423835698132163, 0.5, 0.7253066494512589, 0.7083333333333334, 0.8095238095238095]","[8, 2, 25, 36, 35, 40]"
"[28311920.0, 2015604.64, 213.0, 110415.0, 370.0, 157.0]","[0.18787151734685126, 0.05106673424069475, 0.6666666666666666, 0.7062621045836023, 0.7083333333333334, 0.7619047619047619]","[9, 2, 33, 35, 35, 38]"
"[28581001.0, 2634213.99, 215.0, 111261.0, 372.0, 157.0]","[0.1978622239598591, 0.17485435923679177, 1.0, 0.9793415106520336, 0.7916666666666666, 0.7619047619047619]","[9, 8, 50, 48, 39, 38]"
"[29134612.0, 2712032.12, 215.0, 111226.0, 371.0, 156.0]","[0.21841724300146326, 0.19042625690425752, 1.0, 0.9680438992898645, 0.75, 0.7142857142857143]","[10, 9, 50, 48, 37, 35]"
"[29396261.0, 2979417.74, 213.0, 110559.0, 368.0, 154.0]","[0.22813200693718108, 0.24393180262209851, 0.6666666666666666, 0.7527437056165268, 0.625, 0.6190476190476191]","[11, 12, 33, 37, 31, 30]"
"[29999835.0, 1927634.81, 215.0, 110963.0, 372.0, 158.0]","[0.25054210186487796, 0.03346341749966848, 1.0, 0.8831504196255648, 0.7916666666666666, 0.8095238095238095]","[12, 1, 50, 44, 39, 40]"
"[30213363.0, 2712032.12, 215.0, 111044.0, 371.0, 156.0]","[0.2584701815199347, 0.19042625690425752, 1.0, 0.9092963202065849, 0.75, 0.7142857142857143]","[12, 9, 50, 45, 37, 35]"
"[30356831.0, 2760454.91, 214.0, 110750.0, 371.0, 157.0]","[0.2637970039130246, 0.20011596199808573, 0.8333333333333334, 0.8143963847643642, 0.75, 0.7619047619047619]","[13, 10, 41, 40, 37, 38]"
"[30484535.0, 2186624.53, 212.0, 110235.0, 369.0, 157.0]","[0.26853852485767526, 0.08528889077646928, 0.5, 0.6481601032924468, 0.6666666666666666, 0.7619047619047619]","[13, 4, 25, 32, 33, 38]"
"[30845240.0, 2248838.2, 212.0, 110235.0, 368.0, 156.0]","[0.28193113834151473, 0.09773823776999756, 0.5, 0.6481601032924468, 0.625, 0.7142857142857143]","[14, 4, 25, 32, 31, 35]"
"[30883983.0, 1867658.25, 215.0, 111053.0, 377.0, 162.0]","[0.2833696269241637, 0.021461730299441206, 1.0, 0.9122014202711427, 1.0, 1.0]","[14, 1, 50, 45, 50, 50]"
"[31032975.0, 2754103.33, 215.0, 111248.0, 367.0, 153.0]","[0.28890154987556216, 0.1988449708577599, 1.0, 0.9751452550032279, 0.5833333333333334, 0.5714285714285714]","[14, 9, 50, 48, 29, 28]"
"[31111196.0, 2613276.92, 212.0, 110043.0, 368.0, 156.0]","[0.29180581685084506, 0.17066471973380484, 0.5, 0.5861846352485475, 0.625, 0.7142857142857143]","[14, 8, 25, 29, 31, 35]"
"[31146172.0, 2614537.51, 212.0, 110043.0, 368.0, 156.0]","[0.29310444051619694, 0.17091697172804612, 0.5, 0.5861846352485475, 0.625, 0.7142857142857143]","[14, 8, 25, 29, 31, 35]"
"[31280703.0, 1895192.99, 215.0, 111045.0, 376.0, 161.0]","[0.2980994410972657, 0.026971605100856718, 1.0, 0.9096191091026469, 0.9583333333333334, 0.9523809523809523]","[14, 1, 50, 45, 47, 47]"
"[31292959.0, 1896560.54, 215.0, 111044.0, 376.0, 161.0]","[0.2985544940376406, 0.027245260464396598, 1.0, 0.9092963202065849, 0.9583333333333334, 0.9523809523809523]","[14, 1, 50, 45, 47, 47]"
"[31373659.0, 2253661.38, 212.0, 109981.0, 368.0, 156.0]","[0.30155080378700877, 0.09870338644925473, 0.5, 0.566171723692705, 0.625, 0.7142857142857143]","[15, 4, 25, 28, 31, 35]"
"[31634558.0, 1869245.38, 215.0, 111133.0, 376.0, 161.0]","[0.311237720977844, 0.021779325003207065, 1.0, 0.9380245319561007, 0.9583333333333334, 0.9523809523809523]","[15, 1, 50, 46, 47, 47]"
"[31920715.0, 2253661.38, 211.0, 109885.0, 368.0, 156.0]","[0.321862442278339, 0.09870338644925473, 0.3333333333333333, 0.5351839896707553, 0.625, 0.7142857142857143]","[16, 4, 16, 26, 31, 35]"
"[32373803.0, 3302405.73, 213.0, 110500.0, 367.0, 154.0]","[0.33868514353883117, 0.30856373258624, 0.6666666666666666, 0.7336991607488702, 0.5833333333333334, 0.6190476190476191]","[16, 15, 33, 36, 29, 30]"
"[32415167.0, 2291286.04, 211.0, 109629.0, 367.0, 156.0]","[0.34022094721259655, 0.10623231775733416, 0.3333333333333333, 0.4525500322788896, 0.5833333333333334, 0.7142857142857143]","[17, 5, 16, 22, 29, 35]"
"[32910866.0, 1760406.6, 215.0, 111266.0, 374.0, 159.0]","[0.35862575200134555, 0.0, 1.0, 0.9809554551323435, 0.875, 0.8571428571428571]","[17, 0, 50, 49, 43, 42]"
"[32982370.0, 1761140.59, 215.0, 111257.0, 374.0, 159.0]","[0.36128062352945983, 0.0001468760193664775, 1.0, 0.9780503550677857, 0.875, 0.8571428571428571]","[18, 0, 50, 48, 43, 42]"
"[33270743.0, 1777577.67, 215.0, 111214.0, 374.0, 159.0]","[0.37198762267883456, 0.0034360391965328517, 1.0, 0.9641704325371208, 0.875, 0.8571428571428571]","[18, 0, 50, 48, 43, 42]"
"[33292443.0, 2255353.09, 215.0, 111136.0, 371.0, 156.0]","[0.37279332183077124, 0.09904190826933737, 1.0, 0.9389928986442866, 0.75, 0.7142857142857143]","[18, 4, 50, 46, 37, 35]"
"[33335329.0, 2087779.39, 215.0, 111001.0, 371.0, 156.0]","[0.37438563583215173, 0.06550935604585668, 1.0, 0.89541639767592, 0.75, 0.7142857142857143]","[18, 3, 50, 44, 37, 35]"
"[33363947.0, 2256087.08, 215.0, 111126.0, 371.0, 156.0]","[0.3754481933588855, 0.0991887842887039, 1.0, 0.9357650096836669, 0.75, 0.7142857142857143]","[18, 4, 50, 46, 37, 35]"
"[33521426.0, 2351305.24, 214.0, 110862.0, 368.0, 154.0]","[0.3812952300753756, 0.11824253748997442, 0.8333333333333334, 0.8505487411233054, 0.625, 0.6190476190476191]","[19, 5, 41, 42, 31, 30]"
"[33534585.0, 1781092.0, 215.0, 111156.0, 374.0, 159.0]","[0.38178381049658916, 0.004139278751758686, 1.0, 0.9454486765655261, 0.875, 0.8571428571428571]","[19, 0, 50, 47, 43, 42]"
"[33548121.0, 2805074.83, 215.0, 111244.0, 365.0, 151.0]","[0.3822863885482304, 0.20904468886636834, 1.0, 0.9738540994189799, 0.5, 0.47619047619047616]","[19, 10, 50, 48, 25, 23]"
"[33571540.0, 2800169.87, 213.0, 110380.0, 367.0, 154.0]","[0.383155912439438, 0.20806317549431722, 0.6666666666666666, 0.6949644932214332, 0.5833333333333334, 0.6190476190476191]","[19, 10, 33, 34, 29, 30]"
"[33651975.0, 1781115.48, 215.0, 111143.0, 374.0, 159.0]","[0.38614238300561426, 0.0041439772475620655, 1.0, 0.9412524209167205, 0.875, 0.8571428571428571]","[19, 0, 50, 47, 43, 42]"
